k141_396391	1236	class	Gammaproteobacteria	3	3	2	0.670	unknown;Proteobacteria;uc_Gammaproteobacteria	-_cellular organisms;d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
k141_120227	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_187754	2	superkingdom	Bacteria	3	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_439102	1879010	species	Firmicutes bacterium	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;-_unclassified Firmicutes sensu stricto;s_Firmicutes bacterium
k141_380625	2	superkingdom	Bacteria	5	5	4	0.530	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_188051	2	superkingdom	Bacteria	3	3	3	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_120716	2	superkingdom	Bacteria	8	8	6	0.830	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_188204	2720830	species	Candidatus Cryptoclostridium obscurum	4	3	3	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_439941	186801	class	Clostridia	3	3	2	0.980	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_314707	1	no rank	root	6	6	6	1.000	unknown;unknown;unknown	-_root
k141_437114	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_498447	1	no rank	root	3	2	2	1.000	unknown;unknown;unknown	-_root
k141_119330	1239	phylum	Firmicutes	1	1	1	1.000	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_498682	1	no rank	root	3	2	2	1.000	unknown;unknown;unknown	-_root
k141_379301	2720830	species	Candidatus Cryptoclostridium obscurum	5	4	3	0.750	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_499313	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_438554	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_316515	2720830	species	Candidatus Cryptoclostridium obscurum	3	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_380179	1239	phylum	Firmicutes	1	1	1	1.000	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_461738	2	superkingdom	Bacteria	4	3	2	0.970	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_398594	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_81472	2	superkingdom	Bacteria	2	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_274656	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_209161	2720830	species	Candidatus Cryptoclostridium obscurum	4	4	4	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_399463	2	superkingdom	Bacteria	7	7	4	0.570	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_399492	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_209564	1239	phylum	Firmicutes	2	2	1	0.980	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_16115	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.670	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_339840	258515	species	Acetanaerobacterium elongatum	2	2	1	0.920	unknown;Firmicutes;Oscillospiraceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_Acetanaerobacterium;s_Acetanaerobacterium elongatum
k141_320123	1	no rank	root	9	8	8	1.000	unknown;unknown;unknown	-_root
k141_65630	1528	species	Eubacterium barkeri	2	2	1	0.500	unknown;Firmicutes;Eubacteriaceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium barkeri
k141_1907	2	superkingdom	Bacteria	8	8	5	0.510	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_447156	186802	order	Eubacteriales	4	3	2	0.510	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_320694	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	2	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_66663	2720830	species	Candidatus Cryptoclostridium obscurum	6	6	4	0.670	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_67270	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_385295	2	superkingdom	Bacteria	12	11	8	0.520	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_321593	186802	order	Eubacteriales	3	3	2	0.510	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_131013	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_299190	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_172620	2	superkingdom	Bacteria	4	4	2	0.660	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_423068	1	no rank	root	6	6	6	1.000	unknown;unknown;unknown	-_root
k141_299282	186802	order	Eubacteriales	2	2	1	0.500	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_105429	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.670	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_105484	1239	phylum	Firmicutes	5	4	2	0.660	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_105485	2720830	species	Candidatus Cryptoclostridium obscurum	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_172921	186801	class	Clostridia	4	4	2	0.500	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_105922	2	superkingdom	Bacteria	3	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_300049	1239	phylum	Firmicutes	3	3	2	0.670	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_3044	2720830	species	Candidatus Cryptoclostridium obscurum	8	7	5	0.710	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_195078	2	superkingdom	Bacteria	3	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_385788	2720830	species	Candidatus Cryptoclostridium obscurum	5	5	2	0.650	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_3191	0	no rank	unclassified	1	0	0	0.000		
k141_132034	186801	class	Clostridia	4	4	2	0.500	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_132107	2	superkingdom	Bacteria	4	4	2	0.660	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_3523	1239	phylum	Firmicutes	3	3	3	1.000	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_3655	1239	phylum	Firmicutes	6	6	3	0.500	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_323190	2	superkingdom	Bacteria	7	6	4	0.650	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_3967	2	superkingdom	Bacteria	8	8	5	0.630	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_115231	1	no rank	root	8	8	8	1.000	unknown;unknown;unknown	-_root
k141_495562	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_495570	2	superkingdom	Bacteria	4	4	3	0.750	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_46787	1884657	species	Epulopiscium sp. Nuni2H_MBin003	2	1	1	1.000	unknown;Firmicutes;Lachnospiraceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Epulopiscium;-_unclassified Epulopiscium;s_Epulopiscium sp. Nuni2H_MBin003
k141_46862	2	superkingdom	Bacteria	2	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_182606	1	no rank	root	1	1	1	1.000	unknown;unknown;unknown	-_root
k141_496134	2720830	species	Candidatus Cryptoclostridium obscurum	5	5	3	0.600	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_310937	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_311081	165185	species	uncultured Eubacterium sp.	2	2	1	0.500	unknown;Firmicutes;Eubacteriaceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Eubacteriaceae;g_Eubacterium;-_environmental samples;s_uncultured Eubacterium sp.
k141_183142	186801	class	Clostridia	1	1	1	1.000	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_363181	1	no rank	root	2	1	1	1.000	unknown;unknown;unknown	-_root
k141_297187	2720830	species	Candidatus Cryptoclostridium obscurum	4	3	3	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_420679	1	no rank	root	8	7	7	1.000	unknown;unknown;unknown	-_root
k141_297401	1	no rank	root	4	3	3	1.000	unknown;unknown;unknown	-_root
k141_297737	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_421347	2720830	species	Candidatus Cryptoclostridium obscurum	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_421418	1239	phylum	Firmicutes	1	1	1	1.000	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_485187	1239	phylum	Firmicutes	3	3	2	0.520	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_364108	1239	phylum	Firmicutes	3	3	2	0.670	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_171472	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	3	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_5603	186801	class	Clostridia	2	2	1	0.500	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_134663	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_5734	1	no rank	root	4	3	3	1.000	unknown;unknown;unknown	-_root
k141_5741	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_326261	2	superkingdom	Bacteria	2	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_388764	2720830	species	Candidatus Cryptoclostridium obscurum	5	5	3	0.600	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_135843	2	superkingdom	Bacteria	3	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_453142	1262848	species	Clostridium sp. CAG:964	2	2	1	0.910	unknown;Firmicutes;Clostridiaceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Clostridiaceae;g_Clostridium;-_environmental samples;s_Clostridium sp. CAG:964
k141_72471	2720830	species	Candidatus Cryptoclostridium obscurum	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_453415	186802	order	Eubacteriales	4	2	1	0.500	unknown;Firmicutes;uc_Eubacteriales	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales
k141_478800	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	2	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_97804	2	superkingdom	Bacteria	2	1	1	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_31508	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_357893	39484	species	Agathobaculum desmolans	2	2	1	0.910	unknown;Firmicutes;Oscillospiraceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_Agathobaculum;s_Agathobaculum desmolans
k141_163840	1239	phylum	Firmicutes	8	7	4	0.570	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_479283	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_479355	1239	phylum	Firmicutes	3	3	3	1.000	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_164018	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_358323	2	superkingdom	Bacteria	6	5	4	0.990	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_415436	2720830	species	Candidatus Cryptoclostridium obscurum	4	4	4	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_300263	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_300322	1239	phylum	Firmicutes	3	3	2	0.670	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_423949	2	superkingdom	Bacteria	6	6	4	0.600	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_173608	2720830	species	Candidatus Cryptoclostridium obscurum	4	4	2	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_173724	1323	species	Faecalicoccus pleomorphus	1	1	1	1.000	unknown;Firmicutes;Erysipelotrichaceae	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Faecalicoccus;s_Faecalicoccus pleomorphus
k141_234838	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.670	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_424363	0	no rank	unclassified	1	0	0	0.000		
k141_424365	186801	class	Clostridia	4	4	3	0.680	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_424367	2720830	species	Candidatus Cryptoclostridium obscurum	7	7	4	0.570	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_487538	2	superkingdom	Bacteria	3	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_435195	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	2	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_435327	2630389	no rank	unclassified Dysgonomonas	1	1	1	1.000	unknown;Bacteroidetes;Dysgonomonadaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Dysgonomonadaceae;g_Dysgonomonas;-_unclassified Dysgonomonas
k141_245871	2	superkingdom	Bacteria	3	3	2	0.510	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_313116	1	no rank	root	9	8	8	1.000	unknown;unknown;unknown	-_root
k141_117552	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.510	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_185250	2720830	species	Candidatus Cryptoclostridium obscurum	5	4	3	0.750	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_436433	2	superkingdom	Bacteria	6	5	4	0.800	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_50140	1783272	clade	Terrabacteria group	4	3	2	0.670	unknown;unknown;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group
k141_247651	2	superkingdom	Bacteria	2	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_247763	2	superkingdom	Bacteria	3	3	3	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_501292	2	superkingdom	Bacteria	4	4	3	0.970	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_122263	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_189881	2720830	species	Candidatus Cryptoclostridium obscurum	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_54231	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_442272	201174	phylum	Actinobacteria	3	3	2	0.510	unknown;Actinobacteria;uc_Actinobacteria	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Actinobacteria
k141_442801	186801	class	Clostridia	3	3	2	0.670	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_55585	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_124130	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_503486	2720830	species	Candidatus Cryptoclostridium obscurum	4	4	3	0.680	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_124554	1379858	strain	Mucispirillum schaedleri ASF457	1	1	1	1.000	unknown;Deferribacteres;Deferribacteraceae	-_cellular organisms;d_Bacteria;p_Deferribacteres;c_Deferribacteres;o_Deferribacterales;f_Deferribacteraceae;g_Mucispirillum;s_Mucispirillum schaedleri;-_Mucispirillum schaedleri ASF457
k141_127340	1239	phylum	Firmicutes	2	2	1	0.500	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_445174	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_254795	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_318533	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_382833	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_319556	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_383340	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_255854	131567	no rank	cellular organisms	1	1	1	1.000	unknown;unknown;unknown	-_cellular organisms
k141_383639	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_65520	2720830	species	Candidatus Cryptoclostridium obscurum	2	2	2	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_44551	2720830	species	Candidatus Cryptoclostridium obscurum	1	1	1	1.000	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_430672	2720830	species	Candidatus Cryptoclostridium obscurum	5	5	4	0.800	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_179832	2	superkingdom	Bacteria	5	4	2	0.650	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_179974	1	no rank	root	2	2	2	1.000	unknown;unknown;unknown	-_root
k141_493480	2720830	species	Candidatus Cryptoclostridium obscurum	3	3	2	0.670	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_493520	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_44748	2	superkingdom	Bacteria	3	3	3	1.000	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_180100	186801	class	Clostridia	4	3	2	0.670	unknown;Firmicutes;uc_Clostridia	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia
k141_112987	1239	phylum	Firmicutes	3	3	2	0.670	unknown;Firmicutes;uc_Firmicutes	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes
k141_493900	2720830	species	Candidatus Cryptoclostridium obscurum	3	2	1	0.500	unknown;Firmicutes;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Firmicutes;c_Clostridia;-_Clostridia incertae sedis;g_Candidatus Cryptoclostridium;s_Candidatus Cryptoclostridium obscurum
k141_62531	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
